	Instrument,	My 2450
	.Model,	2450
	.Serial Number,	00000000
	.Channel,	SMU-1
	..Source,	
	...Stepper,	Disabled
	...Operation,	Voltage Sweep 
	...Sweep Type,	Linear 
	...Dual Sweep,	Disabled 
	...Start,	0 V
	...Stop,	1.5 V
	...Step,	0.02 V
	...Points,	76 
	...Range,	Auto 
	...Limit,	0.02 A
	...Delay,	0 s
	...Asymptote,	N/A 
	...Repeat,	0 
	..Measure,	
	...Function,	
	....Current,	Enabled
	.....Range,	Auto 
	.....Low Range,	100 nA 
	....Voltage,	Measured
	....Resistance,	Disabled
	....Power,	Disabled
	....Speed,	
	.....NPLC,	1 
	.....Auto Zero,	On 
	..Advanced Configuration,	
	...Input Terminals,	Front 
	...Sense,	2-Wire 
	...Output Off,	HighZ 
	...High Capacitance,	Off 

Index,SMU-1 Time (s),SMU-1 Voltage (V),SMU-1 Current (A)
"1","0","1.04455493783462E-05","1.89052003218837E-11"
"2","0.49488192","0.0200103111565113","-2.35058543809896E-12"
"3","1.09128258","0.0400530062615871","-8.58605807979584E-12"
"4","1.58616136","0.0601048357784748","9.48269067435614E-12"
"5","2.08106518","0.080095611512661","4.7598470304111E-12"
"6","2.57594738","0.100033923983574","2.12316774404753E-12"
"7","3.0708335","0.120028853416443","-1.13698547105079E-13"
"8","3.5657073","0.140022486448288","3.99491941263652E-12"
"9","4.06060376","0.160021930932999","4.63235829903375E-12"
"10","4.55549212","0.180040165781975","3.34009426020132E-12"
"11","5.05039584","0.200039356946945","6.48092950833457E-12"
"12","5.64680496","0.220081344246864","6.47513466456306E-12"
"13","6.14167614","0.240071833133698","5.72180150482104E-12"
"14","6.63655622","0.260068863630295","1.39853172445581E-11"
"15","7.13144508","0.280031114816666","2.23473444610489E-11"
"16","7.62633552","0.300014764070511","2.96083747797216E-11"
"17","8.12120722","0.320003092288971","3.99870310474615E-11"
"18","8.61610056","0.340023934841156","7.08680544803109E-11"
"19","9.11098276","0.36011278629303","1.1330988924918E-10"
"20","9.605852","0.380102962255478","1.68778602205322E-10"
"21","10.10073836","0.400106400251389","2.58234572614313E-10"
"22","10.59561472","0.420116126537323","4.10483980139986E-10"
"23","11.09049572","0.440093576908112","6.50750953123946E-10"
"24","11.5853647","0.460103303194046","1.00367192334971E-09"
"25","12.08024848","0.480040788650513","1.56049850819073E-09"
"26","12.57513704","0.500046253204346","2.43404962851912E-09"
"27","13.07002822","0.520094037055969","3.79256404059447E-09"
"28","13.5648929","0.540029048919678","5.87119686201731E-09"
"29","14.05977142","0.560031831264496","9.06245389842297E-09"
"30","14.55463386","0.580022752285004","1.39569511503623E-08"
"31","15.0495073","0.600014686584473","2.14443645063511E-08"
"32","15.54438764","0.620070815086365","3.28541567284901E-08"
"33","16.03931226","0.640068471431732","5.02233810095731E-08"
"34","16.53422626","0.660071134567261","7.66543735153391E-08"
"35","17.53531118","0.680078864097595","1.16353064072428E-07"
"36","17.73286028","0.700080215930939","1.7983869327054E-07"
"37","17.93039334","0.720071196556091","2.78131153663708E-07"
"38","18.12793044","0.740054845809937","4.30554337071953E-07"
"39","18.32548968","0.760010659694672","6.68205188958382E-07"
"40","19.02871036","0.780080199241638","1.0325215953344E-06"
"41","19.21155794","0.80001163482666","1.62192043262621E-06"
"42","19.39434698","0.819994211196899","2.55581426245044E-06"
"43","19.57715934","0.839997947216034","4.04984120905283E-06"
"44","19.75998318","0.860043704509735","6.46131275061634E-06"
"45","19.9428148","0.880038022994995","1.03377306004404E-05"
"46","20.63128724","0.900002598762512","1.65367255249294E-05"
"47","20.81411298","0.920001804828644","2.67727809841745E-05"
"48","20.99693704","0.939995884895325","4.35030633525457E-05"
"49","21.17977276","0.959978520870209","7.10496969986707E-05"
"50","21.8682978","0.980061173439026","0.000116618080937769"
"51","22.05111716","1.00001585483551","0.000193044586922042"
"52","22.2339528","1.02004158496857","0.000322762207360938"
"53","22.41676296","1.04003524780273","0.000545143848285079"
"54","22.5995865","1.06002521514893","0.000931542366743088"
"55","23.28807146","1.08008897304535","0.0016132346354425"
"56","23.47090368","1.10008072853088","0.00278853578492999"
"57","23.6537368","1.12007510662079","0.00475702062249184"
"58","23.83654396","1.14006924629211","0.00788005255162716"
"59","24.27176954","1.16006290912628","0.0125346211716533"
"60","24.45458246","1.1800445318222","0.0188481863588095"
"61","24.63737778","1.18296647071838","0.0199998375028372"
"62","24.82017574","1.1827757358551","0.0199997685849667"
"63","25.00298404","1.18261241912842","0.0199995748698711"
"64","25.1857957","1.18247103691101","0.0200000181794167"
"65","25.36861868","1.1823490858078","0.0200029779225588"
"66","25.55143168","1.18222379684448","0.020000047981739"
"67","25.73424296","1.18211710453033","0.0199996829032898"
"68","25.91703048","1.18201518058777","0.0199996959418058"
"69","26.0998397","1.18192481994629","0.0200000256299973"
"70","26.28266612","1.18183779716492","0.020000122487545"
"71","26.46549842","1.18175613880157","0.0199992768466473"
"72","26.64832202","1.18167853355408","0.0200003106147051"
"73","26.8311203","1.18160486221313","0.0199995376169682"
"74","27.01393842","1.18153548240662","0.0200000535696745"
"75","27.19675552","1.18146800994873","0.0199998281896114"
"76","27.37956418","1.18140554428101","0.0199993215501308"
