	Instrument,	My 2450
	.Model,	2450
	.Serial Number,	00000000
	.Channel,	SMU-1
	..Source,	
	...Stepper,	Disabled
	...Operation,	Voltage Sweep 
	...Sweep Type,	Linear 
	...Dual Sweep,	Disabled 
	...Start,	0 V
	...Stop,	2.5 V
	...Step,	0.02 V
	...Points,	126 
	...Range,	Auto 
	...Limit,	0.02 A
	...Delay,	0 s
	...Asymptote,	N/A 
	...Repeat,	0 
	..Measure,	
	...Function,	
	....Current,	Enabled
	.....Range,	Auto 
	.....Low Range,	100 nA 
	....Voltage,	Measured
	....Resistance,	Disabled
	....Power,	Disabled
	....Speed,	
	.....NPLC,	1 
	.....Auto Zero,	On 
	..Advanced Configuration,	
	...Input Terminals,	Front 
	...Sense,	2-Wire 
	...Output Off,	HighZ 
	...High Capacitance,	Off 

Index,SMU-1 Time (s),SMU-1 Voltage (V),SMU-1 Current (A)
"1","0","3.62020182365086E-06","2.27878445280272E-11"
"2","0.49488026","0.0200033280998468","8.90901415140366E-12"
"3","1.09131258","0.0400284789502621","-3.64869159191761E-12"
"4","1.58618342","0.0600423626601696","-1.18429155371302E-11"
"5","2.08104924","0.0800306871533394","5.48422071644517E-12"
"6","2.57590348","0.10003799945116","1.45358716382993E-11"
"7","3.07079302","0.120030298829079","3.14307412561943E-12"
"8","3.56566918","0.140030488371849","-6.38396106811268E-12"
"9","4.06057578","0.160035282373428","3.09092074851636E-12"
"10","4.55546678","0.180040016770363","1.42808933081828E-11"
"11","5.05035852","0.200099244713783","9.66234731114568E-12"
"12","5.64674026","0.220023438334465","-4.4981520678361E-13"
"13","6.1416297","0.240063026547432","-2.0898166010197E-12"
"14","6.63652604","0.260058730840683","1.1493540494345E-11"
"15","7.131437","0.280065685510635","1.40954583074948E-11"
"16","7.62633036","0.30007129907608","6.54468926969409E-12"
"17","8.12122644","0.320000201463699","-2.43752218929971E-12"
"18","8.61611842","0.340014576911926","1.06242965813852E-11"
"19","9.1110264","0.360036194324493","2.00294312385774E-11"
"20","9.6059155","0.380042910575867","1.19223580660743E-11"
"21","10.10079328","0.400056660175323","-1.11624641821462E-12"
"22","10.59568362","0.420031785964966","4.0702597542408E-12"
"23","11.0905462","0.440044045448303","2.38540836389189E-11"
"24","11.58541384","0.460048288106918","2.58822997756258E-11"
"25","12.08028468","0.480025589466095","3.89061439315386E-12"
"26","12.57515594","0.500038802623749","-6.1579517526833E-12"
"27","13.07002678","0.520016551017761","1.25424132885188E-11"
"28","13.56490832","0.540024042129517","3.36474771656103E-11"
"29","14.05980878","0.560033619403839","2.69485701115402E-11"
"30","14.55468506","0.580027163028717","-1.29009932077484E-12"
"31","15.04955826","0.600025117397308","-8.34848249559039E-12"
"32","15.544434","0.620029807090759","1.62047961854705E-11"
"33","16.0392898","0.640035033226013","3.99522949445785E-11"
"34","16.53415574","0.660032212734222","3.23899795873217E-11"
"35","17.02903696","0.680027961730957","2.16952844578344E-12"
"36","17.52390312","0.700028300285339","-9.21194977937523E-12"
"37","18.0187887","0.720010340213776","1.53355522725107E-11"
"38","18.51367252","0.740018844604492","4.22123135057628E-11"
"39","19.00855428","0.760071754455566","3.78487831353969E-11"
"40","19.50343856","0.780021250247955","1.00274085909624E-11"
"41","19.99834298","0.800010859966278","-3.17928647818044E-12"
"42","20.4932229","0.820013761520386","1.59903722207755E-11"
"43","20.9881028","0.840014100074768","4.40608903529149E-11"
"44","21.48298246","0.860003650188446","4.10301896625054E-11"
"45","21.97786616","0.880023717880249","1.57933527367149E-11"
"46","22.47276588","0.900009989738464","6.76488465939373E-12"
"47","22.96764176","0.920003831386566","2.86174937913497E-11"
"48","23.46252522","0.940006613731384","5.11654572876719E-11"
"49","23.95740998","0.959987938404083","4.96877261557671E-11"
