	Instrument,	My 2450
	.Model,	2450
	.Serial Number,	00000000
	.Channel,	SMU-1
	..Source,	
	...Stepper,	Disabled
	...Operation,	Voltage Sweep 
	...Sweep Type,	Linear 
	...Dual Sweep,	Disabled 
	...Start,	0 V
	...Stop,	2.5 V
	...Step,	0.02 V
	...Points,	126 
	...Range,	Auto 
	...Limit,	0.02 A
	...Delay,	0 s
	...Asymptote,	N/A 
	...Repeat,	0 
	..Measure,	
	...Function,	
	....Current,	Enabled
	.....Range,	Auto 
	.....Low Range,	100 nA 
	....Voltage,	Measured
	....Resistance,	Disabled
	....Power,	Disabled
	....Speed,	
	.....NPLC,	1 
	.....Auto Zero,	On 
	..Advanced Configuration,	
	...Input Terminals,	Front 
	...Sense,	2-Wire 
	...Output Off,	HighZ 
	...High Capacitance,	Off 

Index,SMU-1 Time (s),SMU-1 Voltage (V),SMU-1 Current (A)
"1","0","2.24083487410098E-06","8.15572609447202E-12"
"2","0.4948942","0.0200036372989416","-9.65592623219935E-13"
"3","1.09127016","0.0400385856628418","-7.82120462144986E-12"
"4","1.58614936","0.0600251257419586","-1.18372195725969E-11"
"5","2.08102068","0.0800238996744156","-4.67212965364616E-13"
"6","2.5758945","0.100021064281464","2.47666839293947E-12"
"7","3.07078176","0.120021305978298","-7.82700206730658E-12"
"8","3.56567828","0.14003112912178","-1.31816736345658E-11"
"9","4.06057604","0.160097748041153","-2.80264114867201E-12"
"10","4.5554637","0.180037796497345","2.05363677452386E-12"
"11","5.05034866","0.200017154216766","-6.27390934343497E-12"
"12","5.64672496","0.220071822404861","-1.19183508548448E-11"
"13","6.14158652","0.239996075630188","-9.36270332096978E-12"
"14","6.636455","0.260070264339447","2.05019378210491E-13"
"15","7.13133042","0.280000388622284","-2.55924600088553E-12"
"16","7.62619632","0.300012797117233","-8.53979473941502E-12"
"17","8.12107572","0.320002287626266","-7.21271480041974E-12"
"18","8.61593918","0.340008169412613","7.09192849845247E-13"
"19","9.11081292","0.360030800104141","-4.52378672716192E-12"
"20","9.60567702","0.380033999681473","-4.83092472275404E-12"
"21","10.10054376","0.400107532739639","-6.39560626680691E-12"
"22","10.595418","0.420083075761795","1.4799358570225E-12"
"23","11.09028696","0.440049022436142","7.72939546568596E-13"
"24","11.58515168","0.460110783576965","-7.96027133098676E-12"
