	Instrument,	My 2450
	.Model,	2450
	.Serial Number,	00000000
	.Channel,	SMU-1
	..Source,	
	...Stepper,	Disabled
	...Operation,	Voltage Sweep 
	...Sweep Type,	Linear 
	...Dual Sweep,	Disabled 
	...Start,	0 V
	...Stop,	2.5 V
	...Step,	0.02 V
	...Points,	126 
	...Range,	Auto 
	...Limit,	0.02 A
	...Delay,	0 s
	...Asymptote,	N/A 
	...Repeat,	0 
	..Measure,	
	...Function,	
	....Current,	Enabled
	.....Range,	Auto 
	.....Low Range,	100 nA 
	....Voltage,	Measured
	....Resistance,	Disabled
	....Power,	Disabled
	....Speed,	
	.....NPLC,	1 
	.....Auto Zero,	On 
	..Advanced Configuration,	
	...Input Terminals,	Front 
	...Sense,	2-Wire 
	...Output Off,	HighZ 
	...High Capacitance,	Off 

Index,SMU-1 Time (s),SMU-1 Voltage (V),SMU-1 Current (A)
"1","0","5.02255170431454E-06","-1.71226106210343E-11"
"2","0.49490554","0.0200117528438568","-3.20973837786287E-11"
"3","1.09131052","0.0401072464883327","-3.83677603577048E-11"
"4","1.58618774","0.0600904151797295","-3.03993948069792E-11"
"5","2.08104578","0.0800965428352356","-1.79513365977657E-11"
"6","2.57594114","0.100036084651947","-3.52441756334976E-11"
"7","3.07083484","0.120094917714596","-3.43922598733393E-11"
"8","3.56571808","0.140018031001091","-2.43897853302588E-11"
"9","4.06062418","0.160034954547882","-2.63021791846452E-11"
"10","4.55551948","0.180034697055817","-3.81939167792833E-11"
"11","5.0503898","0.200039029121399","-3.17786352788119E-11"
"12","5.64675662","0.220074594020844","-2.09010482532523E-11"
"13","6.1416431","0.240066081285477","-2.84000323258482E-11"
"14","6.63652864","0.260009258985519","-3.59511899417075E-11"
"15","7.13142902","0.27999073266983","-2.89041950096713E-11"
"16","7.62631444","0.300001680850983","-2.3010518837574E-11"
"17","8.12121394","0.319996386766434","-2.86955667561095E-11"
"18","8.61610026","0.340077817440033","-3.44907540028583E-11"
"19","9.11099406","0.360086262226105","-2.6400687191952E-11"
"20","9.60587862","0.380105286836624","-2.5148917670581E-11"
"21","10.10076852","0.400116622447968","-2.925190992209E-11"
"22","10.59563482","0.420043915510178","-3.44907609417522E-11"
"23","11.09052954","0.440032958984375","-2.32597083954511E-11"
"24","11.58541226","0.460042923688889","-2.16138478642547E-11"
"25","12.08029604","0.480033785104752","-3.50644895064089E-11"
"26","12.57517172","0.500039517879486","-2.98546048993487E-11"
"27","13.07005052","0.520041882991791","-1.9336348494603E-11"
"28","13.56491988","0.54008024930954","-3.27927615617618E-11"
"29","14.05982538","0.560020267963409","-3.17959859830186E-11"
"30","14.55471666","0.580024659633636","-2.35610385368457E-11"
"31","15.04960164","0.600030720233917","-1.83917412549528E-11"
"32","15.54448772","0.620073556900024","-2.92403115609297E-11"
"33","16.0393797","0.640097796916962","-3.14019227287687E-11"
"34","16.53426034","0.660035014152527","-1.78527730793077E-11"
"35","17.02914396","0.680030286312103","-1.89538697237257E-11"
"36","17.52401866","0.700031876564026","-2.97038990626497E-11"
"37","18.0189209","0.720063507556915","-2.6041370448926E-11"
"38","18.51378026","0.740047812461853","-1.64155720266956E-11"
"39","19.00867094","0.760026037693024","-2.03678775234639E-11"
"40","19.50357132","0.780016303062439","-3.12106486488606E-11"
"41","19.99846562","0.800008356571198","-1.81831008583266E-11"
"42","20.49334178","0.820007920265198","-1.21966733587775E-11"
"43","20.98822634","0.840066313743591","-2.2280288725085E-11"
"44","21.48311174","0.860067546367645","-2.38913593769707E-11"
"45","21.97800012","0.880067110061646","-8.78331608833438E-12"
"46","22.47287846","0.900070369243622","-8.71957020476266E-12"
"47","22.96775786","0.920004427433014","-1.22778003042168E-11"
"48","23.46267032","0.940000295639038","-2.57087818915369E-12"
"49","23.95756074","0.959996521472931","1.35741582904525E-11"
"50","24.45244858","0.979986786842346","2.20117240407047E-11"
"51","24.94731386","1.00000548362732","3.48303261232807E-11"
"52","25.44217984","1.02007246017456","7.21212672916138E-11"
"53","25.93704954","1.03999781608582","1.19860760205981E-10"
"54","26.4319299","1.05999279022217","1.69379246739432E-10"
"55","26.92682048","1.0800119638443","2.59103599686838E-10"
"56","27.42168496","1.10004460811615","4.04993205638249E-10"
"57","27.91658018","1.12002301216125","6.02573713148757E-10"
"58","28.41147172","1.14003694057465","8.85238049530557E-10"
"59","28.90636192","1.16002893447876","1.32721900136801E-09"
"60","29.4012491","1.18001568317413","1.9784520688404E-09"
