TEST_PARAM.comment:,18650

SourceMeter Model:,2450
SourceMeter S/N:,00000000
SourceMeter Firmware:,1.7.1e

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,4.1914849281
TEST_PARAM.vcutoff:,3

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,1
TEST_PARAM.max_discharge_current:,1

TEST_PARAM.measure_interval:,10

TEST_PARAM.discharge_start_time:,07/03/20 14:51:05
TEST_PARAM.discharge_stop_time:,07/03/20 16:59:55

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,37,360.06768308,4.0922851563,3.9014205933,0.19086456299
BATT_MODEL_RAW:,38,370.0684368,4.090593338,3.9005413055,0.19005203247
BATT_MODEL_RAW:,39,380.06939068,4.0889205933,3.8992424011,0.18967819214
BATT_MODEL_RAW:,40,390.0699098,4.087266922,3.8982963562,0.1889705658
BATT_MODEL_RAW:,41,400.0707351,4.0855998993,3.8961029053,0.18949699402
BATT_MODEL_RAW:,42,410.07173234,4.0839252472,3.8947887421,0.18913650513
BATT_MODEL_RAW:,43,420.0728917,4.0823402405,3.8938293457,0.18851089478
BATT_MODEL_RAW:,44,430.0740412,4.0806236267,3.8922767639,0.18834686279
BATT_MODEL_RAW:,45,440.07472052,4.0790958405,3.891450882,0.1876449585
BATT_MODEL_RAW:,46,450.07591266,4.077419281,3.8901176453,0.18730163574
BATT_MODEL_RAW:,47,460.07613942,4.0756912231,3.8884849548,0.18720626831
BATT_MODEL_RAW:,48,470.07655048,4.0740585327,3.8873233795,0.1867351532
BATT_MODEL_RAW:,49,480.077216,4.072429657,3.8861198425,0.18630981445
BATT_MODEL_RAW:,50,490.07836948,4.0707969666,3.8853988647,0.18539810181
BATT_MODEL_RAW:,51,500.07951396,4.0691661835,3.8834381104,0.18572807312
BATT_MODEL_RAW:,52,510.08071844,4.0675601959,3.8822154999,0.18534469604
BATT_MODEL_RAW:,53,520.08164934,4.0660209656,3.8811225891,0.18489837646
BATT_MODEL_RAW:,54,530.0820863,4.0643215179,3.8794879913,0.18483352661
BATT_MODEL_RAW:,55,540.08262132,4.0627784729,3.8778133392,0.18496513367
BATT_MODEL_RAW:,56,550.0829232,4.0610961914,3.8764457703,0.18465042114
BATT_MODEL_RAW:,57,560.08408718,4.0595207214,3.8741149902,0.1854057312
BATT_MODEL_RAW:,58,570.08443458,4.0579013824,3.8733024597,0.18459892273
BATT_MODEL_RAW:,59,580.08536182,4.056312561,3.8713855743,0.18492698669
BATT_MODEL_RAW:,60,590.08609158,4.0547657013,3.8690624237,0.18570327759
BATT_MODEL_RAW:,61,600.08653976,4.0531101227,3.8673934937,0.18571662903
BATT_MODEL_RAW:,62,610.0871543,4.0515365601,3.865278244,0.18625831604
BATT_MODEL_RAW:,63,620.08754322,4.0499191284,3.8636035919,0.1863155365
BATT_MODEL_RAW:,64,630.08857226,4.0483283997,3.8625564575,0.18577194214
BATT_MODEL_RAW:,65,640.08880142,4.0467281342,3.8617916107,0.18493652344
BATT_MODEL_RAW:,66,650.08967788,4.0451526642,3.8603630066,0.18478965759
BATT_MODEL_RAW:,67,660.0898926,4.0435619354,3.8579826355,0.18557929993
BATT_MODEL_RAW:,68,670.09032444,4.0420742035,3.8564109802,0.18566322327
BATT_MODEL_RAW:,69,680.09136604,4.0404052734,3.8535423279,0.18686294556
BATT_MODEL_RAW:,70,690.09251666,4.0388336182,3.8519935608,0.18684005737
BATT_MODEL_RAW:,71,700.09357694,4.0372390747,3.8506469727,0.18659210205
BATT_MODEL_RAW:,72,710.09374676,4.0356769562,3.8489055634,0.18677139282
BATT_MODEL_RAW:,73,720.09436664,4.0340900421,3.847776413,0.18631362915
BATT_MODEL_RAW:,74,730.09489284,4.0325222015,3.8453083038,0.18721389771
BATT_MODEL_RAW:,75,740.09512284,4.0309562683,3.8430805206,0.18787574768
BATT_MODEL_RAW:,76,750.09547364,4.0293865204,3.8409404755,0.18844604492
BATT_MODEL_RAW:,77,760.0957287,4.0278129578,3.8394374847,0.18837547302
BATT_MODEL_RAW:,78,770.09605106,4.0262413025,3.8378829956,0.18835830688
BATT_MODEL_RAW:,79,780.09676726,4.0246906281,3.8364315033,0.18825912476
BATT_MODEL_RAW:,80,790.09745016,4.0231246948,3.834695816,0.18842887878
BATT_MODEL_RAW:,81,800.09769716,4.0215606689,3.8330345154,0.18852615356
BATT_MODEL_RAW:,82,810.09877796,4.0199985504,3.8322944641,0.1877040863
BATT_MODEL_RAW:,83,820.09914636,4.0184364319,3.830575943,0.18786048889
BATT_MODEL_RAW:,84,830.10033254,4.0168972015,3.8287315369,0.18816566467
BATT_MODEL_RAW:,85,840.10115234,4.0154285431,3.8272895813,0.18813896179
BATT_MODEL_RAW:,86,850.10185282,4.0137844086,3.8256187439,0.18816566467
