	Instrument,	My 2450
	.Model,	2450
	.Serial Number,	00000000
	.Channel,	SMU-1
	..Source,	
	...Stepper,	Disabled
	...Operation,	Voltage Sweep 
	...Sweep Type,	Linear 
	...Dual Sweep,	Disabled 
	...Start,	0 V
	...Stop,	20 V
	...Step,	0.2 V
	...Points,	101 
	...Range,	Auto 
	...Limit,	1 A
	...Delay,	1 s
	...Asymptote,	N/A 
	...Repeat,	0 
	..Measure,	
	...Function,	
	....Current,	Enabled
	.....Range,	Auto 
	.....Low Range,	1 mA 
	....Voltage,	Measured
	....Resistance,	Disabled
	....Power,	Enabled
	....Speed,	
	.....NPLC,	1 
	.....Auto Zero,	On 
	..Advanced Configuration,	
	...Input Terminals,	Front 
	...Sense,	2-Wire 
	...Output Off,	Normal 
	...High Capacitance,	Off 

Index,SMU-1 Time (s),SMU-1 Voltage (V),SMU-1 Current (A),SMU-1 Power (W)
"1","0","2.04045500140637E-06","-1.42470554465035E-07","-2.9070475541132E-13"
"2","1.08637106","0.200042530894279","-1.33940005753175E-07","-2.67936977388594E-08"
"3","2.17271328","0.400035530328751","-3.29070424243127E-08","-1.31639861677606E-08"
"4","3.256583","0.600085437297821","-7.26585795973733E-08","-4.36013555111283E-08"
"5","4.34044448","0.800071775913239","8.28053927648398E-08","6.62502576445586E-08"
"6","5.42429498","1.0000821352005","2.30317240834665E-07","2.3033615798742E-07"
"7","6.50813976","1.20010614395142","1.6201612140776E-07","1.94436542720631E-07"
"8","7.59199576","1.40000247955322","2.3292817274978E-07","3.26100019407493E-07"
"9","8.6758623","1.60005474090576","4.58605910580445E-07","7.33794561431645E-07"
"10","9.7597498","1.80004441738129","6.62232253034745E-07","1.19204747008502E-06"
"11","10.84363056","2.00000786781311","6.27414181053609E-07","1.25483329848474E-06"
"12","11.92997612","2.2006778717041","-1.49172389996011E-08","-3.28280377733435E-08"
"13","13.01384214","2.40031933784485","1.67630423675291E-06","4.02366547558927E-06"
"14","14.09772638","2.600013256073","0.00042245103395544","0.00109837828832589"
"15","15.18159348","2.7998902797699","0.000799699919298291","0.00223907203077606"
"16","16.49982144","3.00050282478333","0.00112833746243268","0.00338557974333811"
"17","17.5837397","3.20057559013367","0.00133571156766266","0.00427504583892027"
"18","18.66760634","3.40003252029419","0.00137777696363628","0.00468448648207553"
"19","19.75147798","3.60048937797546","0.00119141943287104","0.00428969301276574"
"20","20.83533912","3.80037426948547","0.00107249419670552","0.00407587934933215"
"21","21.9192301","4.0009880065918","0.00104465149343014","0.00417963809628219"
"22","23.00310954","4.09615230560303","0.00781859457492828","0.0320261541946678"
"23","24.20115262","4.4003438949585","0.431061625480652","1.89681939203467"
"24","25.28504186","4.60103178024292","0.46252503991127","2.12809240778988"
"25","26.36889462","4.80040216445923","0.48041820526123","2.30620059238163"
"26","27.45277386","5.00110292434692","0.498185008764267","2.49147450419677"
"27","28.53664892","5.20036220550537","0.515681028366089","2.68172813001115"
"28","29.62054682","5.40080642700195","0.534617900848389","2.88736779489227"
"29","30.70441822","5.60031747817993","0.554113686084747","3.10321256107912"
"30","31.78830144","5.80032348632813","0.561596214771271","3.25743971437078"
"31","32.87216266","6.0010142326355","0.542014122009277","3.25263446046711"
"32","33.95603214","6.20097923278809","0.523935794830322","3.24891498305715"
"33","35.03990026","6.40093374252319","0.507116556167603","3.24601947576537"
"34","36.12380032","6.60032749176025","0.491490513086319","3.24399834546298"
"35","37.2076483","6.80021095275879","0.476852983236313","3.24270087945928"
"36","38.2914941","7.00029468536377","0.463115304708481","3.2419436062614"
"37","39.37533416","7.20027637481689","0.450213730335236","3.24166328615098"
"38","40.45920846","7.40036773681641","0.438040643930435","3.24166184875708"
"39","41.54306822","7.60034132003784","0.426575571298599","3.24211994065949"
"40","42.62695598","7.80021905899048","0.415740340948105","3.24286573105461"
"41","43.71083624","8.00094985961914","0.405436366796494","3.2438760420049"
"42","44.79469706","8.20033836364746","0.395737856626511","3.24518432764199"
"43","45.87852656","8.40019130706787","0.386490523815155","3.24659433841617"
"44","46.96239482","8.60028743743896","0.377696871757507","3.24830166133609"
"45","48.04624228","8.80020236968994","0.369301229715347","3.24992555687041"
"46","49.13012612","9.00007057189941","0.361294448375702","3.25167553261679"
"47","50.21401298","9.20021533966064","0.353663891553879","3.25378396015807"
"48","51.29788386","9.40022850036621","0.346375226974487","3.25600628042639"
"49","52.38175802","9.60050392150879","0.339373797178268","3.25815947066729"
"50","53.46563958","9.80018901824951","0.33268016576767","3.26032850714574"
"51","54.54948004","10.0007476806641","0.32623353600502","3.26257927855704"
"52","55.6333469","10.2001276016235","0.320078790187836","3.26484450248921"
"53","56.717236","10.4001512527466","0.314171880483627","3.26743507638955"
"54","57.80110172","10.6002244949341","0.308472186326981","3.26987442550913"
"55","58.88495584","10.7999420166016","0.303005158901215","3.27243814686426"
"56","59.9688103","11.0000152587891","0.297723889350891","3.27496732576583"
"57","61.05270248","11.200662612915","0.292618244886398","3.2775182353559"
"58","62.13656958","11.4001617431641","0.287733256816864","3.28020566659961"
"59","63.220453","11.600136756897","0.282995820045471","3.28279021415767"
"60","64.30429674","11.8006887435913","0.278422147035599","3.28557309648951"
"61","65.3881582","12.0000238418579","0.274016052484512","3.28819916286594"
"62","66.47201238","12.2000427246094","0.269735604524612","3.29078589954861"
"63","67.55588454","12.4006385803223","0.26559653878212","3.29356668562161"
"64","68.6397534","12.5998411178589","0.261606931686401","3.29620577457922"
"65","69.72362728","12.8001251220703","0.257720768451691","3.29885808273775"
"66","70.80750316","13.000020980835","0.253971725702286","3.30163776266858"
